activity_id,wbs_id,description,discipline,location,equipment_id,planned_start,planned_finish,planned_progress,actual_progress,actual_start,actual_finish,target_quantity,actual_quantity,unit,status
INS-L6-1124,1.2.4.1.1,Mounting and impulse tubing for transmitter SK-01,Instrumentation,Pump House PH-2,SK-01,2026-02-27,2026-03-11,51.4,46.3,2026-02-27,,2.0,0.9,transmitters,IN_PROGRESS
INS-L6-1125,1.2.4.1.1,Mounting and impulse tubing for transmitter V-102,Instrumentation,Compressor Shed CS-A,V-102,2026-03-07,2026-03-29,21.5,0.0,,,3.0,0.0,transmitters,NOT_STARTED
INS-L6-1126,1.2.4.1.1,Mounting and impulse tubing for transmitter FIT-204,Instrumentation,Tank Farm TF-3,FIT-204,2026-02-03,2026-02-14,100.0,100.0,2026-02-03,2026-02-13,11.0,11.0,transmitters,COMPLETED
INS-L6-1127,1.2.4.1.1,Mounting and impulse tubing for transmitter P-101B,Instrumentation,Scraper Station SS-01,P-101B,2026-03-27,2026-04-16,21.9,0.0,,,11.0,0.0,transmitters,NOT_STARTED
INS-L6-1128,1.2.4.1.1,Mounting and impulse tubing for transmitter MOT-101,Instrumentation,Metering Skid MS-02,MOT-101,2026-03-22,2026-04-10,28.2,0.0,,,9.0,0.0,transmitters,NOT_STARTED
INS-L6-1129,1.2.4.1.1,Calibration and loop check of flow sensor on V-105,Instrumentation,V-105,K-201,2026-03-10,2026-03-26,22.4,0.0,,,5.0,0.0,loops,NOT_STARTED
INS-L6-1130,1.2.4.1.1,Calibration and loop check of flow sensor on V-102,Instrumentation,V-102,MOT-101,2026-02-10,2026-03-09,51.9,32.6,2026-02-10,,2.0,0.7,loops,IN_PROGRESS
INS-L6-1131,1.2.4.1.1,Calibration and loop check of flow sensor on Pump House PH-1,Instrumentation,Pump House PH-1,P-101B,2026-03-26,2026-04-04,10.1,0.0,,,2.0,0.0,loops,NOT_STARTED
INS-L6-1132,1.2.4.1.1,Calibration and loop check of flow sensor on Pump House PH-2,Instrumentation,Pump House PH-2,SK-01,2026-03-16,2026-04-01,14.6,0.0,,,1.0,0.0,loops,NOT_STARTED
INS-L6-1133,1.2.4.1.1,Calibration and loop check of flow sensor on Compressor Shed CS-A,Instrumentation,Compressor Shed CS-A,PIT-108,2026-03-14,2026-03-23,14.7,0.0,,,6.0,0.0,loops,NOT_STARTED
INS-L6-1134,1.2.4.1.1,Calibration and loop check of flow sensor on Tank Farm TF-3,Instrumentation,Tank Farm TF-3,K-201,2026-02-09,2026-03-01,64.5,53.3,2026-02-09,,1.0,0.5,loops,IN_PROGRESS
INS-L6-1135,1.2.4.1.1,Calibration and loop check of flow sensor on Scraper Station SS-01,Instrumentation,Scraper Station SS-01,K-201,2026-01-24,2026-02-01,100.0,100.0,2026-01-24,2026-02-04,2.0,2.0,loops,COMPLETED
INS-L6-1136,1.2.4.1.1,Calibration and loop check of flow sensor on Metering Skid MS-02,Instrumentation,Metering Skid MS-02,PIT-108,2026-02-20,2026-03-13,61.1,43.2,2026-02-20,,1.0,0.4,loops,IN_PROGRESS
INS-L6-1137,1.2.4.1,Installation of ESD safety shutdown valve at V-105,Instrumentation,V-105,TK-302,2026-03-20,2026-04-13,18.8,0.0,,,4.0,0.0,valves,NOT_STARTED
INS-L6-1138,1.2.4.1,Installation of ESD safety shutdown valve at V-102,Instrumentation,V-102,MOT-101,2026-03-11,2026-03-28,10.5,0.0,,,3.0,0.0,valves,NOT_STARTED
INS-L6-1139,1.2.4.1,Installation of ESD safety shutdown valve at Pump House PH-1,Instrumentation,Pump House PH-1,P-101B,2026-03-31,2026-04-07,21.5,0.0,,,3.0,0.0,valves,NOT_STARTED
INS-L6-1140,1.2.4.1,Installation of ESD safety shutdown valve at Pump House PH-2,Instrumentation,Pump House PH-2,P-101A,2026-03-22,2026-04-18,28.3,0.0,,,4.0,0.0,valves,NOT_STARTED
INS-L6-1141,1.2.4.1,Installation of ESD safety shutdown valve at Compressor Shed CS-A,Instrumentation,Compressor Shed CS-A,P-101A,2026-03-11,2026-04-07,29.4,0.0,,,4.0,0.0,valves,NOT_STARTED
INS-L6-1142,1.2.4.1,Installation of ESD safety shutdown valve at Tank Farm TF-3,Instrumentation,Tank Farm TF-3,SK-01,2026-03-08,2026-03-25,23.4,0.0,,,3.0,0.0,valves,NOT_STARTED
INS-L6-1143,1.2.4.1,Installation of ESD safety shutdown valve at Scraper Station SS-01,Instrumentation,Scraper Station SS-01,P-101A,2026-03-08,2026-03-30,23.3,0.0,,,3.0,0.0,valves,NOT_STARTED
INS-L6-1144,1.2.4.1,Installation of ESD safety shutdown valve at Metering Skid MS-02,Instrumentation,Metering Skid MS-02,TK-302,2026-01-19,2026-02-09,100.0,100.0,2026-01-19,2026-02-10,1.0,1.0,valves,COMPLETED
HSE-L6-1145,1.1.2,Radiography safety barricading and clearing for NDT at V-105,HSE,V-105,TK-301,2026-03-07,2026-03-30,23.2,0.0,,,5.0,0.0,shifts,NOT_STARTED
HSE-L6-1146,1.1.2,Radiography safety barricading and clearing for NDT at V-102,HSE,V-102,VS-04,2026-03-08,2026-03-16,20.4,0.0,,,11.0,0.0,shifts,NOT_STARTED
HSE-L6-1147,1.1.2,Radiography safety barricading and clearing for NDT at Pump House PH-1,HSE,Pump House PH-1,MOT-101,2026-03-12,2026-03-20,15.3,0.0,,,11.0,0.0,shifts,NOT_STARTED
HSE-L6-1148,1.1.2,Radiography safety barricading and clearing for NDT at Pump House PH-2,HSE,Pump House PH-2,P-101A,2026-03-12,2026-04-03,10.6,0.0,,,8.0,0.0,shifts,NOT_STARTED
HSE-L6-1149,1.1.2,Radiography safety barricading and clearing for NDT at Compressor Shed CS-A,HSE,Compressor Shed CS-A,FIT-204,2026-02-14,2026-02-26,100.0,100.0,2026-02-16,2026-02-25,14.0,14.0,shifts,COMPLETED
HSE-L6-1150,1.1.2,Radiography safety barricading and clearing for NDT at Tank Farm TF-3,HSE,Tank Farm TF-3,VS-04,2026-01-26,2026-02-09,100.0,100.0,2026-01-27,2026-02-08,8.0,8.0,shifts,COMPLETED
HSE-L6-1151,1.1.2,Radiography safety barricading and clearing for NDT at Scraper Station SS-01,HSE,Scraper Station SS-01,FIT-204,2026-03-19,2026-04-04,18.3,0.0,,,13.0,0.0,shifts,NOT_STARTED
HSE-L6-1152,1.1.2,Radiography safety barricading and clearing for NDT at Metering Skid MS-02,HSE,Metering Skid MS-02,SK-01,2026-02-15,2026-03-08,57.3,52.9,2026-02-15,,9.0,4.8,shifts,IN_PROGRESS
HSE-L6-1153,1.2.3.1,Hydrotesting environmental containment setup at V-105,HSE,V-105,VS-04,2026-01-23,2026-02-07,100.0,100.0,2026-01-23,2026-02-12,5.0,5.0,checkpoints,COMPLETED
HSE-L6-1154,1.2.3.1,Hydrotesting environmental containment setup at V-102,HSE,V-102,VS-04,2026-01-15,2026-01-31,100.0,100.0,2026-01-17,2026-02-03,4.0,4.0,checkpoints,COMPLETED
HSE-L6-1155,1.2.3.1,Hydrotesting environmental containment setup at Pump House PH-1,HSE,Pump House PH-1,FIT-204,2026-02-03,2026-02-24,100.0,100.0,2026-02-04,2026-02-25,6.0,6.0,checkpoints,COMPLETED
HSE-L6-1156,1.2.3.1,Hydrotesting environmental containment setup at Pump House PH-2,HSE,Pump House PH-2,TK-301,2026-03-25,2026-04-13,28.7,0.0,,,5.0,0.0,checkpoints,NOT_STARTED
HSE-L6-1157,1.2.3.1,Hydrotesting environmental containment setup at Compressor Shed CS-A,HSE,Compressor Shed CS-A,P-101B,2026-03-29,2026-04-17,27.1,0.0,,,3.0,0.0,checkpoints,NOT_STARTED
HSE-L6-1158,1.2.3.1,Hydrotesting environmental containment setup at Tank Farm TF-3,HSE,Tank Farm TF-3,TK-302,2026-02-24,2026-03-18,57.4,47.8,2026-02-24,,5.0,2.4,checkpoints,IN_PROGRESS
HSE-L6-1159,1.2.3.1,Hydrotesting environmental containment setup at Scraper Station SS-01,HSE,Scraper Station SS-01,FIT-204,2026-03-19,2026-03-27,20.0,0.0,,,3.0,0.0,checkpoints,NOT_STARTED
HSE-L6-1160,1.2.3.1,Hydrotesting environmental containment setup at Metering Skid MS-02,HSE,Metering Skid MS-02,MOT-101,2026-01-27,2026-02-17,100.0,100.0,2026-01-29,2026-02-19,2.0,2.0,checkpoints,COMPLETED
